Accelerometor Data,Action
"[[1.417248010635376, -8.465184211730957, -4.596479892730713], [5.362559795379639, -1.3023359775543213, -8.541791915893555]]",laying
"[[1.417248010635376, -8.465184211730957, -4.596479892730713], [5.362559795379639, -1.3023359775543213, -8.541791915893555]]",laying
"[[1.3406399488449097, -8.503487586975098, -4.673088073730469], [5.285952091217041, -1.264032006263733, -8.465184211730957]]",laying
"[[1.3023359775543213, -8.580096244812012, -4.596479892730713], [5.285952091217041, -1.264032006263733, -8.465184211730957]]",laying
"[[1.3023359775543213, -8.580096244812012, -4.596479892730713], [5.209343910217285, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.3023359775543213, -8.580096244812012, -4.596479892730713], [5.209343910217285, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.3406399488449097, -8.580096244812012, -4.596479892730713], [5.362559795379639, -1.2257280349731445, -8.388575553894043]]",laying
"[[1.3406399488449097, -8.580096244812012, -4.596479892730713], [5.362559795379639, -1.2257280349731445, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.541791915893555, -4.596479892730713], [5.362559795379639, -1.2257280349731445, -8.388575553894043]]",laying
"[[1.3406399488449097, -8.465184211730957, -4.596479892730713], [5.32425594329834, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.3406399488449097, -8.465184211730957, -4.596479892730713], [5.32425594329834, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.3406399488449097, -8.465184211730957, -4.596479892730713], [5.32425594329834, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.3406399488449097, -8.465184211730957, -4.596479892730713], [5.32425594329834, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.3406399488449097, -8.465184211730957, -4.596479892730713], [5.362559795379639, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.3789440393447876, -8.695008277893066, -4.63478422164917], [5.362559795379639, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.3789440393447876, -8.695008277893066, -4.63478422164917], [5.362559795379639, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.3789440393447876, -8.695008277893066, -4.63478422164917], [5.362559795379639, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.3789440393447876, -8.695008277893066, -4.63478422164917], [5.362559795379639, -1.1491199731826782, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.580096244812012, -4.673088073730469], [5.362559795379639, -1.1491199731826782, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.580096244812012, -4.673088073730469], [5.362559795379639, -1.1491199731826782, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.580096244812012, -4.673088073730469], [5.362559795379639, -1.1491199731826782, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.580096244812012, -4.673088073730469], [5.362559795379639, -1.264032006263733, -8.311967849731445]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.63478422164917], [5.362559795379639, -1.264032006263733, -8.311967849731445]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.63478422164917], [5.362559795379639, -1.264032006263733, -8.311967849731445]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.63478422164917], [5.32425594329834, -1.3406399488449097, -8.4268798828125]]",laying
"[[1.264032006263733, -8.541791915893555, -4.558176040649414], [5.32425594329834, -1.3406399488449097, -8.4268798828125]]",laying
"[[1.264032006263733, -8.541791915893555, -4.558176040649414], [5.400864124298096, -1.3406399488449097, -8.541791915893555]]",laying
"[[1.3406399488449097, -8.503487586975098, -4.63478422164917], [5.400864124298096, -1.3406399488449097, -8.541791915893555]]",laying
"[[1.3406399488449097, -8.503487586975098, -4.63478422164917], [5.400864124298096, -1.3406399488449097, -8.541791915893555]]",laying
"[[1.3406399488449097, -8.503487586975098, -4.63478422164917], [5.400864124298096, -1.3406399488449097, -8.541791915893555]]",laying
"[[1.3406399488449097, -8.503487586975098, -4.63478422164917], [5.285952091217041, -1.264032006263733, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.503487586975098, -4.519872188568115], [5.285952091217041, -1.264032006263733, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.503487586975098, -4.519872188568115], [5.4391679763793945, -1.3023359775543213, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.503487586975098, -4.519872188568115], [5.4391679763793945, -1.3023359775543213, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.503487586975098, -4.519872188568115], [5.32425594329834, -1.3023359775543213, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.503487586975098, -4.519872188568115], [5.32425594329834, -1.3023359775543213, -8.388575553894043]]",laying
"[[1.417248010635376, -8.503487586975098, -4.673088073730469], [5.32425594329834, -1.3023359775543213, -8.388575553894043]]",laying
"[[1.417248010635376, -8.503487586975098, -4.673088073730469], [5.32425594329834, -1.3023359775543213, -8.388575553894043]]",laying
"[[1.417248010635376, -8.503487586975098, -4.673088073730469], [5.32425594329834, -1.3023359775543213, -8.388575553894043]]",laying
"[[1.417248010635376, -8.503487586975098, -4.673088073730469], [5.32425594329834, -1.3023359775543213, -8.388575553894043]]",laying
"[[1.417248010635376, -8.503487586975098, -4.673088073730469], [5.32425594329834, -1.1874239444732666, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.4268798828125, -4.596479892730713], [5.32425594329834, -1.1874239444732666, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.4268798828125, -4.596479892730713], [5.32425594329834, -1.1874239444732666, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.4268798828125, -4.596479892730713], [5.32425594329834, -1.1874239444732666, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.4268798828125, -4.596479892730713], [5.32425594329834, -1.1874239444732666, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.4268798828125, -4.596479892730713], [5.32425594329834, -1.1874239444732666, -8.388575553894043]]",laying
"[[1.3023359775543213, -8.4268798828125, -4.596479892730713], [5.362559795379639, -1.3023359775543213, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.618399620056152, -4.596479892730713], [5.362559795379639, -1.3023359775543213, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.618399620056152, -4.596479892730713], [5.400864124298096, -1.3406399488449097, -8.465184211730957]]",laying
"[[1.3789440393447876, -8.618399620056152, -4.596479892730713], [5.400864124298096, -1.3406399488449097, -8.465184211730957]]",laying
"[[1.3023359775543213, -8.465184211730957, -4.558176040649414], [5.400864124298096, -1.3406399488449097, -8.465184211730957]]",laying
"[[1.3023359775543213, -8.465184211730957, -4.558176040649414], [5.400864124298096, -1.3406399488449097, -8.465184211730957]]",laying
"[[1.3023359775543213, -8.465184211730957, -4.558176040649414], [5.400864124298096, -1.3406399488449097, -8.465184211730957]]",laying
"[[1.3023359775543213, -8.465184211730957, -4.558176040649414], [5.400864124298096, -1.3406399488449097, -8.465184211730957]]",laying
"[[1.3023359775543213, -8.465184211730957, -4.558176040649414], [5.400864124298096, -1.3023359775543213, -8.350272178649902]]",laying
"[[1.417248010635376, -8.503487586975098, -4.63478422164917], [5.400864124298096, -1.3023359775543213, -8.350272178649902]]",laying
"[[1.417248010635376, -8.503487586975098, -4.63478422164917], [5.400864124298096, -1.3406399488449097, -8.465184211730957]]",laying
"[[1.264032006263733, -8.465184211730957, -4.519872188568115], [5.400864124298096, -1.3406399488449097, -8.465184211730957]]",laying
"[[1.264032006263733, -8.465184211730957, -4.519872188568115], [5.285952091217041, -1.2257280349731445, -8.503487586975098]]",laying
"[[1.264032006263733, -8.465184211730957, -4.519872188568115], [5.285952091217041, -1.2257280349731445, -8.503487586975098]]",laying
"[[1.264032006263733, -8.465184211730957, -4.519872188568115], [5.285952091217041, -1.2257280349731445, -8.503487586975098]]",laying
"[[1.3023359775543213, -8.4268798828125, -4.519872188568115], [5.285952091217041, -1.2257280349731445, -8.503487586975098]]",laying
"[[1.3789440393447876, -8.580096244812012, -4.558176040649414], [5.285952091217041, -1.264032006263733, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.580096244812012, -4.558176040649414], [5.285952091217041, -1.264032006263733, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.596479892730713], [5.285952091217041, -1.264032006263733, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.596479892730713], [5.285952091217041, -1.264032006263733, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.596479892730713], [5.285952091217041, -1.264032006263733, -8.388575553894043]]",laying
"[[1.3406399488449097, -8.65670394897461, -4.673088073730469], [5.362559795379639, -1.3406399488449097, -8.350272178649902]]",laying
"[[1.417248010635376, -8.465184211730957, -4.443264007568359], [5.362559795379639, -1.3789440393447876, -8.4268798828125]]",laying
"[[1.3406399488449097, -8.618399620056152, -4.519872188568115], [5.362559795379639, -1.264032006263733, -8.4268798828125]]",laying
"[[1.3406399488449097, -8.618399620056152, -4.519872188568115], [5.362559795379639, -1.264032006263733, -8.4268798828125]]",laying
"[[1.3406399488449097, -8.618399620056152, -4.519872188568115], [5.362559795379639, -1.264032006263733, -8.4268798828125]]",laying
"[[1.3406399488449097, -8.618399620056152, -4.519872188568115], [5.4391679763793945, -1.3406399488449097, -8.465184211730957]]",laying
"[[1.3789440393447876, -8.541791915893555, -4.519872188568115], [5.477471828460693, -1.3789440393447876, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.541791915893555, -4.519872188568115], [5.477471828460693, -1.3789440393447876, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.580096244812012, -4.481567859649658], [5.477471828460693, -1.3789440393447876, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.580096244812012, -4.481567859649658], [5.477471828460693, -1.3789440393447876, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.580096244812012, -4.481567859649658], [5.477471828460693, -1.3789440393447876, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.580096244812012, -4.481567859649658], [5.362559795379639, -1.2257280349731445, -8.503487586975098]]",laying
"[[1.3789440393447876, -8.580096244812012, -4.481567859649658], [5.362559795379639, -1.2257280349731445, -8.503487586975098]]",laying
"[[1.3023359775543213, -8.65670394897461, -4.63478422164917], [5.362559795379639, -1.2257280349731445, -8.503487586975098]]",laying
"[[1.3023359775543213, -8.65670394897461, -4.63478422164917], [5.362559795379639, -1.2257280349731445, -8.503487586975098]]",laying
"[[1.3023359775543213, -8.65670394897461, -4.63478422164917], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.3023359775543213, -8.65670394897461, -4.63478422164917], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.3023359775543213, -8.65670394897461, -4.63478422164917], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.3023359775543213, -8.65670394897461, -4.63478422164917], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.3023359775543213, -8.65670394897461, -4.63478422164917], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.417248010635376, -8.503487586975098, -4.558176040649414], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.417248010635376, -8.503487586975098, -4.558176040649414], [5.362559795379639, -1.3023359775543213, -8.503487586975098]]",laying
"[[1.417248010635376, -8.503487586975098, -4.558176040649414], [5.362559795379639, -1.3023359775543213, -8.503487586975098]]",laying
"[[1.3789440393447876, -8.541791915893555, -4.596479892730713], [5.362559795379639, -1.1491199731826782, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.541791915893555, -4.596479892730713], [5.362559795379639, -1.1491199731826782, -8.4268798828125]]",laying
"[[1.3406399488449097, -8.618399620056152, -4.558176040649414], [5.362559795379639, -1.1491199731826782, -8.4268798828125]]",laying
"[[1.3406399488449097, -8.541791915893555, -4.63478422164917], [5.400864124298096, -1.2257280349731445, -8.4268798828125]]",laying
"[[1.3406399488449097, -8.541791915893555, -4.63478422164917], [5.400864124298096, -1.2257280349731445, -8.4268798828125]]",laying
"[[1.3406399488449097, -8.541791915893555, -4.63478422164917], [5.400864124298096, -1.2257280349731445, -8.4268798828125]]",laying
"[[1.3406399488449097, -8.541791915893555, -4.63478422164917], [5.400864124298096, -1.264032006263733, -8.4268798828125]]",laying
"[[1.3406399488449097, -8.541791915893555, -4.63478422164917], [5.400864124298096, -1.264032006263733, -8.4268798828125]]",laying
"[[1.3406399488449097, -8.541791915893555, -4.63478422164917], [5.400864124298096, -1.264032006263733, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.580096244812012, -4.558176040649414], [5.400864124298096, -1.264032006263733, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.580096244812012, -4.558176040649414], [5.400864124298096, -1.264032006263733, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.580096244812012, -4.558176040649414], [5.477471828460693, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.580096244812012, -4.558176040649414], [5.477471828460693, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.4268798828125, -4.596479892730713], [5.477471828460693, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.4268798828125, -4.596479892730713], [5.477471828460693, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.4268798828125, -4.596479892730713], [5.477471828460693, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.4268798828125, -4.596479892730713], [5.362559795379639, -1.264032006263733, -8.311967849731445]]",laying
"[[1.3789440393447876, -8.465184211730957, -4.596479892730713], [5.362559795379639, -1.264032006263733, -8.311967849731445]]",laying
"[[1.3789440393447876, -8.465184211730957, -4.596479892730713], [5.362559795379639, -1.264032006263733, -8.311967849731445]]",laying
"[[1.3789440393447876, -8.465184211730957, -4.596479892730713], [5.362559795379639, -1.264032006263733, -8.311967849731445]]",laying
"[[1.3789440393447876, -8.465184211730957, -4.596479892730713], [5.362559795379639, -1.1874239444732666, -8.388575553894043]]",laying
"[[1.417248010635376, -8.503487586975098, -4.481567859649658], [5.362559795379639, -1.1874239444732666, -8.388575553894043]]",laying
"[[1.3406399488449097, -8.4268798828125, -5.056128025054932], [5.400864124298096, -1.1874239444732666, -8.388575553894043]]",laying
"[[1.417248010635376, -8.235360145568848, -4.826303958892822], [5.4391679763793945, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.350272178649902, -4.826303958892822], [5.4391679763793945, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.350272178649902, -4.826303958892822], [5.4391679763793945, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.350272178649902, -4.826303958892822], [5.4391679763793945, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.350272178649902, -4.826303958892822], [5.477471828460693, -1.3789440393447876, -8.541791915893555]]",laying
"[[1.417248010635376, -8.465184211730957, -4.788000106811523], [5.477471828460693, -1.3789440393447876, -8.541791915893555]]",laying
"[[1.417248010635376, -8.465184211730957, -4.788000106811523], [5.477471828460693, -1.3789440393447876, -8.541791915893555]]",laying
"[[1.417248010635376, -8.465184211730957, -4.788000106811523], [5.477471828460693, -1.3789440393447876, -8.541791915893555]]",laying
"[[1.417248010635376, -8.465184211730957, -4.788000106811523], [5.400864124298096, -1.1874239444732666, -8.4268798828125]]",laying
"[[1.417248010635376, -8.465184211730957, -4.788000106811523], [5.400864124298096, -1.1874239444732666, -8.4268798828125]]",laying
"[[1.417248010635376, -8.465184211730957, -4.788000106811523], [5.400864124298096, -1.1874239444732666, -8.4268798828125]]",laying
"[[1.264032006263733, -8.4268798828125, -4.673088073730469], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.264032006263733, -8.4268798828125, -4.673088073730469], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.264032006263733, -8.4268798828125, -4.673088073730469], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.3789440393447876, -8.311967849731445, -4.749695777893066], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.3789440393447876, -8.311967849731445, -4.749695777893066], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.417248010635376, -8.388575553894043, -4.788000106811523], [5.362559795379639, -1.2257280349731445, -8.350272178649902]]",laying
"[[1.417248010635376, -8.388575553894043, -4.788000106811523], [5.362559795379639, -1.264032006263733, -8.388575553894043]]",laying
"[[1.417248010635376, -8.388575553894043, -4.788000106811523], [5.362559795379639, -1.264032006263733, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.4268798828125, -4.749695777893066], [5.51577615737915, -1.264032006263733, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.826303958892822], [5.400864124298096, -1.264032006263733, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.826303958892822], [5.400864124298096, -1.264032006263733, -8.388575553894043]]",laying
"[[1.3406399488449097, -8.465184211730957, -4.749695777893066], [5.362559795379639, -1.264032006263733, -8.388575553894043]]",laying
"[[1.3406399488449097, -8.465184211730957, -4.749695777893066], [5.477471828460693, -1.264032006263733, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.350272178649902, -4.826303958892822], [5.477471828460693, -1.264032006263733, -8.4268798828125]]",laying
"[[1.3789440393447876, -8.350272178649902, -4.826303958892822], [5.362559795379639, -1.3023359775543213, -8.503487586975098]]",laying
"[[1.3789440393447876, -8.350272178649902, -4.826303958892822], [5.362559795379639, -1.3023359775543213, -8.503487586975098]]",laying
"[[1.3789440393447876, -8.350272178649902, -4.826303958892822], [5.362559795379639, -1.3023359775543213, -8.503487586975098]]",laying
"[[1.3023359775543213, -8.580096244812012, -4.826303958892822], [5.362559795379639, -1.3023359775543213, -8.503487586975098]]",laying
"[[1.3023359775543213, -8.580096244812012, -4.826303958892822], [5.362559795379639, -1.3023359775543213, -8.503487586975098]]",laying
"[[1.3023359775543213, -8.580096244812012, -4.826303958892822], [5.362559795379639, -1.3023359775543213, -8.503487586975098]]",laying
"[[1.3023359775543213, -8.580096244812012, -4.826303958892822], [5.362559795379639, -1.3406399488449097, -8.4268798828125]]",laying
"[[1.417248010635376, -8.388575553894043, -4.749695777893066], [5.362559795379639, -1.3406399488449097, -8.4268798828125]]",laying
"[[9.116352081298828, -0.26812800765037537, -4.175136089324951], [5.1327362060546875, -0.5362560153007507, -8.541791915893555]]",sitting
"[[9.116352081298828, -0.26812800765037537, -4.175136089324951], [5.209343910217285, -0.5362560153007507, -8.618399620056152]]",sitting
"[[9.192959785461426, -0.3447360098361969, -4.21343994140625], [5.209343910217285, -0.5362560153007507, -8.618399620056152]]",sitting
"[[9.192959785461426, -0.3447360098361969, -4.21343994140625], [5.209343910217285, -0.5362560153007507, -8.618399620056152]]",sitting
"[[9.192959785461426, -0.3447360098361969, -4.21343994140625], [5.209343910217285, -0.5362560153007507, -8.618399620056152]]",sitting
"[[9.231264114379883, -0.30643200874328613, -4.136832237243652], [5.171040058135986, -0.49795201420783997, -8.618399620056152]]",sitting
"[[9.231264114379883, -0.30643200874328613, -4.136832237243652], [5.171040058135986, -0.49795201420783997, -8.618399620056152]]",sitting
"[[9.231264114379883, -0.30643200874328613, -4.136832237243652], [5.1327362060546875, -0.5362560153007507, -8.580096244812012]]",sitting
"[[9.078047752380371, -0.30643200874328613, -4.21343994140625], [5.1327362060546875, -0.5362560153007507, -8.580096244812012]]",sitting
"[[9.078047752380371, -0.30643200874328613, -4.21343994140625], [5.0944318771362305, -0.5745599865913391, -8.618399620056152]]",sitting
"[[8.503487586975098, -0.03830400109291077, -4.443264007568359], [5.0944318771362305, -0.5745599865913391, -8.618399620056152]]",sitting
"[[9.231264114379883, -0.3447360098361969, -4.21343994140625], [5.1327362060546875, 0.7660800218582153, -7.928927898406982]]",sitting
"[[9.231264114379883, -0.3447360098361969, -4.21343994140625], [5.1327362060546875, 0.7660800218582153, -7.928927898406982]]",sitting
"[[9.231264114379883, -0.3447360098361969, -4.21343994140625], [3.562272071838379, 1.953503966331482, -6.128640174865723]]",sitting
"[[9.384480476379395, -0.8809919953346252, -4.443264007568359], [3.562272071838379, 1.953503966331482, -6.128640174865723]]",sitting
"[[9.384480476379395, -0.8809919953346252, -4.443264007568359], [4.558176040649414, 0.15321600437164307, -9.690912246704102]]",sitting
"[[9.384480476379395, -0.8809919953346252, -4.443264007568359], [4.558176040649414, 0.15321600437164307, -9.690912246704102]]",sitting
"[[9.384480476379395, -0.8809919953346252, -4.443264007568359], [4.558176040649414, 0.15321600437164307, -9.690912246704102]]",sitting
"[[9.03974437713623, -0.19152000546455383, -4.290048122406006], [4.558176040649414, 0.15321600437164307, -9.690912246704102]]",sitting
"[[9.03974437713623, -0.19152000546455383, -4.290048122406006], [5.171040058135986, 0.2298240065574646, -8.733311653137207]]",sitting
"[[9.03974437713623, -0.19152000546455383, -4.290048122406006], [5.171040058135986, 0.2298240065574646, -8.733311653137207]]",sitting
"[[9.03974437713623, -0.19152000546455383, -4.290048122406006], [5.171040058135986, 0.2298240065574646, -8.733311653137207]]",sitting
"[[9.03974437713623, -0.19152000546455383, -4.290048122406006], [5.171040058135986, 0.2298240065574646, -8.733311653137207]]",sitting
"[[9.03974437713623, -0.19152000546455383, -4.290048122406006], [5.171040058135986, 0.2298240065574646, -8.733311653137207]]",sitting
"[[9.116352081298828, -0.5362560153007507, -4.481567859649658], [5.171040058135986, 0.2298240065574646, -8.733311653137207]]",sitting
"[[9.116352081298828, -0.5362560153007507, -4.481567859649658], [3.7154879570007324, 1.8768960237503052, -7.354368209838867]]",sitting
"[[9.116352081298828, -0.5362560153007507, -4.481567859649658], [3.7154879570007324, 1.8768960237503052, -7.354368209838867]]",sitting
"[[9.001440048217773, -0.6511679887771606, -4.3666558265686035], [3.7154879570007324, 1.8768960237503052, -7.354368209838867]]",sitting
"[[9.001440048217773, -0.6511679887771606, -4.3666558265686035], [5.171040058135986, -1.9151999950408936, -11.146464347839355]]",sitting
"[[9.116352081298828, -0.19152000546455383, -4.328351974487305], [5.783904075622559, -0.6511679887771606, -8.388575553894043]]",sitting
"[[9.116352081298828, -0.19152000546455383, -4.328351974487305], [5.783904075622559, -0.6511679887771606, -8.388575553894043]]",sitting
"[[9.03974437713623, -0.49795201420783997, -4.4049601554870605], [5.783904075622559, -0.6511679887771606, -8.388575553894043]]",sitting
"[[9.03974437713623, -0.49795201420783997, -4.4049601554870605], [5.783904075622559, -0.6511679887771606, -8.388575553894043]]",sitting
"[[9.03974437713623, -0.49795201420783997, -4.4049601554870605], [3.6771841049194336, 2.413151979446411, -7.277760028839111]]",sitting
"[[9.03974437713623, -0.49795201420783997, -4.4049601554870605], [3.6771841049194336, 2.413151979446411, -7.277760028839111]]",sitting
"[[9.03974437713623, -0.49795201420783997, -4.4049601554870605], [3.6771841049194336, 2.413151979446411, -7.277760028839111]]",sitting
"[[9.116352081298828, -0.49795201420783997, -4.481567859649658], [3.6771841049194336, 2.413151979446411, -7.277760028839111]]",sitting
"[[8.924832344055176, -0.38304001092910767, -4.251743793487549], [3.6005759239196777, 1.723680019378662, -7.584191799163818]]",sitting
"[[8.924832344055176, -0.38304001092910767, -4.251743793487549], [3.6005759239196777, 1.723680019378662, -7.584191799163818]]",sitting
"[[9.03974437713623, -0.5362560153007507, -4.519872188568115], [4.136832237243652, 1.034208059310913, -9.154656410217285]]",sitting
"[[9.03974437713623, -0.5362560153007507, -4.519872188568115], [4.136832237243652, 1.034208059310913, -9.154656410217285]]",sitting
"[[9.03974437713623, -0.5362560153007507, -4.519872188568115], [4.3666558265686035, 1.0725120306015015, -9.078047752380371]]",sitting
"[[9.03974437713623, -0.1149120032787323, -4.251743793487549], [4.3666558265686035, 1.0725120306015015, -9.078047752380371]]",sitting
"[[9.03974437713623, -0.1149120032787323, -4.251743793487549], [4.021920204162598, 1.9918080568313599, -7.73740816116333]]",sitting
"[[9.03974437713623, -0.1149120032787323, -4.251743793487549], [4.021920204162598, 1.9918080568313599, -7.73740816116333]]",sitting
"[[9.078047752380371, -0.5362560153007507, -4.4049601554870605], [4.021920204162598, 1.9918080568313599, -7.73740816116333]]",sitting
"[[9.078047752380371, -0.5362560153007507, -4.4049601554870605], [4.021920204162598, 1.9918080568313599, -7.73740816116333]]",sitting
"[[9.078047752380371, -0.5362560153007507, -4.4049601554870605], [3.523967981338501, 1.570464015007019, -7.507584095001221]]",sitting
"[[9.001440048217773, -0.42134401202201843, -4.251743793487549], [3.523967981338501, 1.570464015007019, -7.507584095001221]]",sitting
"[[9.001440048217773, -0.42134401202201843, -4.251743793487549], [4.788000106811523, -0.3447360098361969, -10.686816215515137]]",sitting
"[[9.001440048217773, -0.42134401202201843, -4.251743793487549], [4.788000106811523, -0.3447360098361969, -10.686816215515137]]",sitting
"[[8.924832344055176, -0.30643200874328613, -4.136832237243652], [4.788000106811523, -0.3447360098361969, -10.686816215515137]]",sitting
"[[8.963135719299316, -0.38304001092910767, -4.443264007568359], [3.868704080581665, 2.757888078689575, -7.047935962677002]]",sitting
"[[8.963135719299316, -0.38304001092910767, -4.443264007568359], [3.6388800144195557, 1.953503966331482, -7.469279766082764]]",sitting
"[[8.963135719299316, -0.38304001092910767, -4.443264007568359], [3.6388800144195557, 1.953503966331482, -7.469279766082764]]",sitting
"[[9.001440048217773, -0.30643200874328613, -4.290048122406006], [4.136832237243652, 1.7619839906692505, -7.73740816116333]]",sitting
"[[9.001440048217773, -0.30643200874328613, -4.290048122406006], [4.136832237243652, 1.7619839906692505, -7.73740816116333]]",sitting
"[[9.001440048217773, -0.30643200874328613, -4.290048122406006], [4.136832237243652, 1.7619839906692505, -7.73740816116333]]",sitting
"[[9.03974437713623, -0.3447360098361969, -4.175136089324951], [4.136832237243652, 1.7619839906692505, -7.73740816116333]]",sitting
"[[9.03974437713623, -0.3447360098361969, -4.175136089324951], [3.485663890838623, 2.2982399463653564, -7.162847995758057]]",sitting
"[[8.963135719299316, -0.3447360098361969, -4.519872188568115], [6.664896011352539, -3.562272071838379, -9.53769588470459]]",sitting
"[[8.963135719299316, -0.3447360098361969, -4.519872188568115], [6.664896011352539, -3.562272071838379, -9.53769588470459]]",sitting
"[[9.078047752380371, -0.2298240065574646, -4.098527908325195], [6.664896011352539, -3.562272071838379, -9.53769588470459]]",sitting
"[[9.078047752380371, -0.38304001092910767, -4.251743793487549], [3.792095899581909, 1.570464015007019, -7.73740816116333]]",sitting
"[[9.078047752380371, -0.38304001092910767, -4.251743793487549], [3.179231882095337, 1.7619839906692505, -7.009632110595703]]",sitting
"[[8.963135719299316, -0.38304001092910767, -4.443264007568359], [3.179231882095337, 1.7619839906692505, -7.009632110595703]]",sitting
"[[8.963135719299316, -0.38304001092910767, -4.443264007568359], [3.179231882095337, 1.7619839906692505, -7.009632110595703]]",sitting
"[[8.963135719299316, -0.38304001092910767, -4.443264007568359], [3.179231882095337, 1.7619839906692505, -7.009632110595703]]",sitting
"[[8.963135719299316, -0.38304001092910767, -4.443264007568359], [3.10262393951416, 3.7537920475006104, -6.779808044433594]]",sitting
"[[9.03974437713623, -0.19152000546455383, -4.596479892730713], [3.10262393951416, 3.7537920475006104, -6.779808044433594]]",sitting
"[[9.03974437713623, -0.19152000546455383, -4.596479892730713], [3.10262393951416, 3.7537920475006104, -6.779808044433594]]",sitting
"[[9.03974437713623, -0.19152000546455383, -4.596479892730713], [3.10262393951416, 3.7537920475006104, -6.779808044433594]]",sitting
"[[9.03974437713623, -0.19152000546455383, -4.596479892730713], [3.3324480056762695, 2.2599360942840576, -6.971327781677246]]",sitting
"[[9.116352081298828, -0.3447360098361969, -4.443264007568359], [3.3324480056762695, 2.2599360942840576, -6.971327781677246]]",sitting
"[[9.116352081298828, -0.3447360098361969, -4.443264007568359], [3.3324480056762695, 2.2599360942840576, -6.971327781677246]]",sitting
