Accelerometor Data,Action
"[[10.610207557678223, -0.38304001092910767, -0.8043839931488037], [-14.785344123840332, -19.5350399017334, -16.432416915893555]]",jumping
"[[10.610207557678223, -0.38304001092910767, -0.8043839931488037], [-14.785344123840332, -19.5350399017334, -16.432416915893555]]",jumping
"[[-0.1149120032787323, 1.0725120306015015, -0.5745599865913391], [-14.785344123840332, -19.5350399017334, -16.432416915893555]]",jumping
"[[-0.1149120032787323, 1.0725120306015015, -0.5745599865913391], [1.7619839906692505, -1.953503966331482, 0.15321600437164307]]",jumping
"[[-0.1149120032787323, 1.0725120306015015, -0.5745599865913391], [1.7619839906692505, -1.953503966331482, 0.15321600437164307]]",jumping
"[[19.5350399017334, 2.5663681030273438, -4.519872188568115], [1.7619839906692505, -1.953503966331482, 0.15321600437164307]]",jumping
"[[19.5350399017334, 2.5663681030273438, -4.519872188568115], [1.7619839906692505, -1.953503966331482, 0.15321600437164307]]",jumping
"[[19.5350399017334, 2.5663681030273438, -4.519872188568115], [1.7619839906692505, -1.953503966331482, 0.15321600437164307]]",jumping
"[[19.5350399017334, 2.5663681030273438, -4.519872188568115], [-0.9192960262298584, -14.747039794921875, -3.7537920475006104]]",jumping
"[[2.374847888946533, 1.8002879619598389, -2.1833279132843018], [-0.9192960262298584, -14.747039794921875, -3.7537920475006104]]",jumping
"[[2.374847888946533, 1.8002879619598389, -2.1833279132843018], [-17.658143997192383, -19.5350399017334, -13.48300838470459]]",jumping
"[[2.374847888946533, 1.8002879619598389, -2.1833279132843018], [-17.658143997192383, -19.5350399017334, -13.48300838470459]]",jumping
"[[0.8809919953346252, 1.9918080568313599, 0.19152000546455383], [2.6429760456085205, -1.417248010635376, 0.26812800765037537]]",jumping
"[[19.5350399017334, 3.2558400630950928, -3.830399990081787], [2.6429760456085205, -1.417248010635376, 0.26812800765037537]]",jumping
"[[19.5350399017334, 3.2558400630950928, -3.830399990081787], [3.7537920475006104, -10.456992149353027, -0.8043839931488037]]",jumping
"[[1.8002879619598389, 0.7660800218582153, 0.30643200874328613], [3.7537920475006104, -10.456992149353027, -0.8043839931488037]]",jumping
"[[1.8002879619598389, 0.7660800218582153, 0.30643200874328613], [3.7537920475006104, -10.456992149353027, -0.8043839931488037]]",jumping
"[[1.8002879619598389, 0.7660800218582153, 0.30643200874328613], [3.7537920475006104, -10.456992149353027, -0.8043839931488037]]",jumping
"[[1.8002879619598389, 0.7660800218582153, 0.30643200874328613], [-0.8043839931488037, -4.290048122406006, 0.26812800765037537]]",jumping
"[[-2.9877119064331055, -1.723680019378662, 1.5321600437164307], [-0.8043839931488037, -4.290048122406006, 0.26812800765037537]]",jumping
"[[-2.9877119064331055, -1.723680019378662, 1.5321600437164307], [-0.6128640174865723, -1.8002879619598389, -5.32425594329834]]",jumping
"[[19.5350399017334, 2.1833279132843018, -0.8043839931488037], [-0.6128640174865723, -1.8002879619598389, -5.32425594329834]]",jumping
"[[19.5350399017334, 2.1833279132843018, -0.8043839931488037], [-0.6128640174865723, -1.8002879619598389, -5.32425594329834]]",jumping
"[[19.5350399017334, 2.1833279132843018, -0.8043839931488037], [-0.6128640174865723, -1.8002879619598389, -5.32425594329834]]",jumping
"[[19.5350399017334, 2.1833279132843018, -0.8043839931488037], [-6.664896011352539, -19.5350399017334, -13.75113582611084]]",jumping
"[[19.5350399017334, 2.1833279132843018, -0.8043839931488037], [-6.664896011352539, -19.5350399017334, -13.75113582611084]]",jumping
"[[19.5350399017334, 2.1833279132843018, -0.8043839931488037], [-6.664896011352539, -19.5350399017334, -13.75113582611084]]",jumping
"[[-0.15321600437164307, 0.19152000546455383, 1.7619839906692505], [-6.664896011352539, -19.5350399017334, -13.75113582611084]]",jumping
"[[-0.15321600437164307, 0.19152000546455383, 1.7619839906692505], [0.19152000546455383, -0.7660800218582153, -5.400864124298096]]",jumping
"[[-0.15321600437164307, 0.19152000546455383, 1.7619839906692505], [0.19152000546455383, -0.7660800218582153, -5.400864124298096]]",jumping
"[[19.5350399017334, -0.03830400109291077, -0.6511679887771606], [0.19152000546455383, -0.7660800218582153, -5.400864124298096]]",jumping
"[[19.5350399017334, -0.03830400109291077, -0.6511679887771606], [-13.52131175994873, -19.5350399017334, -15.321599960327148]]",jumping
"[[19.5350399017334, -0.03830400109291077, -0.6511679887771606], [-13.52131175994873, -19.5350399017334, -15.321599960327148]]",jumping
"[[-4.175136089324951, -0.19152000546455383, 1.2257280349731445], [-13.52131175994873, -19.5350399017334, -15.321599960327148]]",jumping
"[[-4.175136089324951, -0.19152000546455383, 1.2257280349731445], [-13.52131175994873, -19.5350399017334, -15.321599960327148]]",jumping
"[[-4.175136089324951, -0.19152000546455383, 1.2257280349731445], [-13.52131175994873, -19.5350399017334, -15.321599960327148]]",jumping
"[[-4.175136089324951, -0.19152000546455383, 1.2257280349731445], [4.175136089324951, 1.4555519819259644, -6.396768093109131]]",jumping
"[[-4.175136089324951, -0.19152000546455383, 1.2257280349731445], [4.175136089324951, 1.4555519819259644, -6.396768093109131]]",jumping
"[[-4.175136089324951, -0.19152000546455383, 1.2257280349731445], [4.175136089324951, 1.4555519819259644, -6.396768093109131]]",jumping
"[[13.636223793029785, 0.6511679887771606, -0.26812800765037537], [4.175136089324951, 1.4555519819259644, -6.396768093109131]]",jumping
"[[13.636223793029785, 0.6511679887771606, -0.26812800765037537], [4.175136089324951, 1.4555519819259644, -6.396768093109131]]",jumping
"[[13.636223793029785, 0.6511679887771606, -0.26812800765037537], [4.175136089324951, 1.4555519819259644, -6.396768093109131]]",jumping
"[[13.636223793029785, 0.6511679887771606, -0.26812800765037537], [-7.277760028839111, -8.924832344055176, 5.32425594329834]]",jumping
"[[-1.3789440393447876, -2.145024061203003, 1.417248010635376], [-7.277760028839111, -8.924832344055176, 5.32425594329834]]",jumping
"[[-1.3789440393447876, -2.145024061203003, 1.417248010635376], [1.9918080568313599, 2.7195839881896973, -2.3365440368652344]]",jumping
"[[-1.3789440393447876, -2.145024061203003, 1.417248010635376], [1.9918080568313599, 2.7195839881896973, -2.3365440368652344]]",jumping
"[[-1.3789440393447876, -2.145024061203003, 1.417248010635376], [1.9918080568313599, 2.7195839881896973, -2.3365440368652344]]",jumping
"[[-3.6771841049194336, -0.9959040284156799, 1.5321600437164307], [-14.63212776184082, -17.811359405517578, -1.5321600437164307]]",jumping
"[[-3.6771841049194336, -0.9959040284156799, 1.5321600437164307], [0.5745599865913391, -3.523967981338501, -3.0643200874328613]]",jumping
"[[-3.6771841049194336, -0.9959040284156799, 1.5321600437164307], [0.5745599865913391, -3.523967981338501, -3.0643200874328613]]",jumping
"[[-3.6771841049194336, -0.9959040284156799, 1.5321600437164307], [0.5745599865913391, -3.523967981338501, -3.0643200874328613]]",jumping
"[[2.796191930770874, 0.19152000546455383, 0.15321600437164307], [0.5745599865913391, -3.523967981338501, -3.0643200874328613]]",jumping
"[[2.796191930770874, 0.19152000546455383, 0.15321600437164307], [0.6894720196723938, -0.15321600437164307, -1.0725120306015015]]",jumping
"[[6.4733757972717285, -0.8043839931488037, -2.1833279132843018], [0.6894720196723938, -0.15321600437164307, -1.0725120306015015]]",jumping
"[[6.4733757972717285, -0.8043839931488037, -2.1833279132843018], [0.6894720196723938, -0.15321600437164307, -1.0725120306015015]]",jumping
"[[6.4733757972717285, -0.8043839931488037, -2.1833279132843018], [0.6894720196723938, -0.15321600437164307, -1.0725120306015015]]",jumping
"[[6.4733757972717285, -0.8043839931488037, -2.1833279132843018], [-4.673088073730469, -8.924832344055176, -1.953503966331482]]",jumping
"[[6.4733757972717285, -0.8043839931488037, -2.1833279132843018], [-4.673088073730469, -8.924832344055176, -1.953503966331482]]",jumping
"[[4.673088073730469, -0.30643200874328613, -0.30643200874328613], [-4.673088073730469, -8.924832344055176, -1.953503966331482]]",jumping
"[[4.673088073730469, -0.30643200874328613, -0.30643200874328613], [-15.857855796813965, -19.5350399017334, -9.53769588470459]]",jumping
"[[4.673088073730469, -0.30643200874328613, -0.30643200874328613], [-15.857855796813965, -19.5350399017334, -9.53769588470459]]",jumping
"[[0.42134401202201843, 0.2298240065574646, 1.3023359775543213], [-0.2298240065574646, -0.7277759909629822, 0.6511679887771606]]",jumping
